song_name,n_hums,n_regulars,most_common_hum,song_release_date,album_name,song_art_image_url,song_pageviews,song_id,song_lyrics_url,song_annotation_count,artist_id,artist_name,artist_url,album_id,album_url,percent_hums,rank
Speedin' Bullet 2 Heaven (Acoustic Demo),10,223,hmm,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,6927,2375554,https://genius.com/Kid-cudi-speedin-bullet-2-heaven-acoustic-demo-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.04291845493562232,5
Does It,29,656,oh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,60292,2867528,https://genius.com/Kid-cudi-does-it-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.042335766423357665,14
CudderIsBack,16,379,hey,2010-01-26,NA,https://images.genius.com/ed8110f936431abefe3f091051fc41df.518x518x1.jpg,103558,2826,https://genius.com/Kid-cudi-cudderisback-lyrics,8,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,0.04050632911392405,3
Lord I Know,16,384,uh,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,50497,6250783,https://genius.com/Kid-cudi-lord-i-know-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.04,13
Don't Play This Song (Ft. Mary J. Blige),21,513,ooh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,134450,2330,https://genius.com/Kid-cudi-dont-play-this-song-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.03932584269662921,8
Skit 1,11,301,oh,NA,Rap Hard,https://images.genius.com/0aab2c3a8fe65902dd9bea31a7460a32.706x706x1.png,NA,2988828,https://genius.com/Kid-cudi-skit-1-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,13681,https://genius.com/albums/Kid-cudi/Rap-hard,0.035256410256410256,1
Intro (Dat Kid From Cleveland),3,91,hey,2009-04-22,Dat Kid From Cleveland,https://images.genius.com/1296191c98641182cc6ae0378210daf7.1000x1000x1.png,NA,2154080,https://genius.com/Kid-cudi-intro-dat-kid-from-cleveland-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,19137,https://genius.com/albums/Kid-cudi/Dat-kid-from-cleveland,0.031914893617021274,3
Going to the Ceremony,5,155,hmm,2014-02-25,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,https://images.genius.com/f93aafaafd092a8bb9b2224aea7385f6.670x670x1.jpg,95671,182150,https://genius.com/Kid-cudi-going-to-the-ceremony-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,67138,https://genius.com/albums/Kid-cudi/Kid-cudi-presents-satellite-flight-the-journey-to-mother-moon,0.03125,3
Distant Fantasies,17,538,uh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,61807,2867539,https://genius.com/Kid-cudi-distant-fantasies-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.03063063063063063,15
Judgmental Cunt,5,172,hey,2015-10-03,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,38273,2321494,https://genius.com/Kid-cudi-judgmental-cunt-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.02824858757062147,6
Fuchsia Butterflies,6,207,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,32671,2383398,https://genius.com/Kid-cudi-fuchsia-butterflies-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.028169014084507043,7
Red Eye (Ft. HAIM),13,454,oh,2013-04-12,Indicud,https://images.genius.com/699f98c18a6750dc382068fbcdbc0236.1000x1000x1.jpg,165505,133893,https://genius.com/Kid-cudi-red-eye-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,0.027837259100642397,3
