song_name,most_common_hum,n_hums,n_regulars,percent_hums
Distant Fantasies,mmm,9,546,0.016216216216216217
Did You Get It,na,31,522,0.05605786618444846
"Dennis, Hook Me Up with Some More of That Whiskey!",ay,1,377,0.0026455026455026454
Day ‘n’ Nite (Nightmare),na,6,443,0.013363028953229399
Day 'n' Nite (main),na,6,522,0.011363636363636364
"Dat New ""New""",NONE,0,607,0
Darkness Be Rising,ah,4,320,0.012345679012345678
Daps and Pounds,oh,1,503,0.001984126984126984
Dangerous (Ft. Ricky Hil),oh,6,471,0.012578616352201259
Dance 4 Eternity,hmm,14,275,0.04844290657439446
Cudi Zone,NONE,0,572,0
Cuditastic (Freestyle) (Ft. Peter Rosenberg),ay,14,588,0.023255813953488372
CuDi Spazzin',hey,1,482,0.002070393374741201
Cudi Get,NONE,0,365,0
CudderIsBack,hey,7,388,0.017721518987341773
Cruisin' (In the Evening) (Ft. In-Doe),hey,2,480,0.004149377593360996
Creepers,hey,2,374,0.005319148936170213
Cosmic Warrior,hmm,8,186,0.041237113402061855
Copernicus Landing,NONE,0,75,0
CONFUSED!,ah,2,317,0.006269592476489028
Come Around,oh,10,506,0.01937984496124031
Cold Blooded,oh,3,369,0.008064516129032258
Cleveland is the Reason,oh,20,459,0.04175365344467641
Change (Outro),NONE,0,109,0
Champions (Ft. Trippie Redd),NONE,0,1,0
Capcom,NONE,0,379,0
Can't Look In My Eyes (Ft. Kanye West),hmmm,10,731,0.01349527665317139
Can I Be,NONE,0,315,0
Call Me Moon Man,oh,1,324,0.003076923076923077
By Design (Ft. André 3000),mmm,4,598,0.006644518272425249
Burn Baby Burn,oh,3,407,0.007317073170731708
Brothers (Ft. A$AP Rocky & King Chip),hey,20,734,0.026525198938992044
Bigger Than You (Do It Alone),hey,1,298,0.0033444816053511705
Bet Ya Know*,hey,1,19,0.05
Beez (Ft. RZA),NONE,0,504,0
Baptized in Fire (Ft. Travis Scott),mmm,5,651,0.007621951219512195
Balmain Jeans (Ft. Raphael Saadiq),oh,5,343,0.014367816091954023
Attention,hey,4,503,0.007889546351084813
Ashin' Kusher,hey,7,536,0.01289134438305709
Anomaly (Rehearsal Demo),oh,2,107,0.01834862385321101
Angered Kids,oh,1,125,0.007936507936507936
Angels & Demons,NONE,0,390,0
AMEN,oh,3,204,0.014492753623188406
All In,hm,5,216,0.02262443438914027
All Along,hey,2,215,0.009216589861751152
Alive (Nightmare),na,17,364,0.04461942257217848
Alien (Demo) (Ft. Ant Clemons),oh,4,241,0.0163265306122449
Afterwards (Bring Yo Friends) (Ft. King Chip & Michael Bolton),NONE,0,393,0
Adventures,hmm,3,324,0.009174311926605505
50 Ways to Make a Record,oh,1,211,0.0047169811320754715
09' Freestyle,NONE,0,421,0
