song_name,n_hums,n_regulars,most_common_hum,song_release_date,album_name,song_art_image_url,song_pageviews,song_id,percent_hums,song_lyrics_url,song_annotation_count,artist_id,artist_name,artist_url,album_id,album_url,rank
Dreamer*,4,136,ooh,NA,KC9*,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,7480319,0.02857142857142857,https://genius.com/Kid-cudi-dreamer-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,819200,https://genius.com/albums/Kid-cudi/Kc9,3
Judgmental Cunt,5,172,hey,2015-10-03,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,44619,2321494,0.02824858757062147,https://genius.com/Kid-cudi-judgmental-cunt-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,6
Fuchsia Butterflies,6,207,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,38065,2383398,0.028169014084507043,https://genius.com/Kid-cudi-fuchsia-butterflies-lyrics,6,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,7
Red Eye (Ft. HAIM),13,454,oh,2013-04-12,Indicud,https://images.genius.com/e6cf8fb555c7d3a3add9bbbabb654891.1000x1000x1.jpg,173863,133893,0.027837259100642397,https://genius.com/Kid-cudi-red-eye-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,3
Baptized in Fire (Ft. Travis Scott),18,638,uh,2016-12-01,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,368663,2856357,0.027439024390243903,https://genius.com/Kid-cudi-baptized-in-fire-lyrics,18,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,15
Dose of Dopeness,15,532,oh,2012-02-20,NA,https://images.genius.com/296e117412a63a5584236cdc71e8dccd.1000x1000x1.jpg,75805,65293,0.027422303473491772,https://genius.com/Kid-cudi-dose-of-dopeness-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,11
The Adventures of Moon Man & Slim Shady (Ft. Eminem),28,995,nah,2020-07-10,NA,https://images.genius.com/da923792e43cffd9ae44863c178cb062.984x1000x1.jpg,739367,5748123,0.02737047898338221,https://genius.com/Kid-cudi-the-adventures-of-moon-man-and-slim-shady-lyrics,46,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,12
Swerve Off! (Ft. DEBOYRAXX!),6,218,yo,2020-07-31,NA,https://images.genius.com/7b3a47363b9eeb0f039754df653104be.982x982x1.jpg,NA,5751759,0.026785714285714284,https://genius.com/Kid-cudi-swerve-off-lyrics,18,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,13
What Now*,9,329,hey,NA,KC9*,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,7480337,0.026627218934911243,https://genius.com/Kid-cudi-what-now-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,819200,https://genius.com/albums/Kid-cudi/Kc9,4
Day ‘N’ Nite (Nightmare),12,440,na,2008-02-05,A Kid Named Cudi,https://images.genius.com/be356deab94c00491791293219ef02a5.1000x1000x1.jpg,1017206,131,0.02654867256637168,https://genius.com/Kid-cudi-day-n-nite-nightmare-lyrics,17,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,5
